layer_index,pc1_near_mean,pc1_far_mean,pc1_diff,pc2_near_mean,pc2_far_mean,pc2_diff,pc3_near_mean,pc3_far_mean,pc3_diff,pc4_near_mean,pc4_far_mean,pc4_diff
1,3.548824,2.776175,0.772649,3.550931,2.198774,1.352157,3.866101,3.377190,0.488911,9.664162,6.648958,3.015205
2,2.644719,1.664567,0.980152,3.944949,2.328167,1.616783,12.283616,10.220736,2.062880,12.669932,9.857474,2.812458
3,1.410233,1.156452,0.253781,1.875122,1.723821,0.151301,12.191789,10.563349,1.628441,11.938864,10.216593,1.722271
4,2.510779,1.214356,1.296423,2.622222,1.407801,1.214421,2.902681,1.789533,1.113148,2.613487,2.018951,0.594536
5,1.919774,1.041531,0.878243,2.209730,1.015161,1.194569,2.966348,2.180395,0.785952,2.977839,2.190706,0.787132
6,2.018623,1.029336,0.989287,3.055267,1.167885,1.887382,2.443991,1.509585,0.934406,3.197858,2.724908,0.472951
7,3.608836,1.629312,1.979524,5.196939,1.863817,3.333123,3.443258,2.214632,1.228626,3.696662,2.740546,0.956116
8,2.751228,1.675169,1.076060,5.840777,3.426815,2.413962,3.984417,2.558387,1.426030,4.205143,2.414563,1.790580
9,3.527766,1.700677,1.827089,5.863075,3.512192,2.350883,4.146057,2.417205,1.728853,6.049642,3.508543,2.541099
10,2.327196,1.534913,0.792283,4.480400,1.789452,2.690948,4.505540,2.297007,2.208532,13.378230,4.693807,8.684423
11,3.194002,2.136337,1.057665,7.483705,4.240108,3.243597,5.306098,2.994815,2.311282,18.795978,6.960154,11.835824
12,5.437183,2.175079,3.262104,8.505099,4.553329,3.951770,7.696423,3.097376,4.599047,13.432934,7.920995,5.511939
13,4.478662,3.472251,1.006411,9.282405,5.443549,3.838856,5.567900,5.461071,0.106829,6.481297,3.964997,2.516301
14,3.141398,3.315285,-0.173887,10.294408,5.460624,4.833784,4.659134,3.898096,0.761037,5.020987,4.801014,0.219973
15,7.236010,5.395314,1.840697,7.804158,7.526978,0.277180,4.509551,3.955500,0.554051,8.030809,7.470470,0.560339
16,2.601653,2.420548,0.181105,4.895831,6.241690,-1.345859,4.239180,3.244407,0.994774,6.720388,5.484257,1.236131
17,4.505324,3.625004,0.880320,6.029900,7.598726,-1.568826,9.620520,4.183450,5.437070,8.527151,6.736933,1.790218
18,3.236647,2.615525,0.621122,4.830406,6.884173,-2.053768,30.529999,11.174127,19.355872,25.356044,10.395455,14.960588
19,4.335189,3.494706,0.840483,5.861487,4.942122,0.919365,23.764421,9.588198,14.176224,25.076458,8.660059,16.416399
20,3.351466,2.662889,0.688576,4.641888,4.324412,0.317476,8.267418,6.430630,1.836788,27.447780,12.539050,14.908730
21,3.947369,2.195702,1.751667,4.715660,3.843249,0.872410,9.835928,3.591511,6.244416,36.989167,13.774017,23.215150
22,2.584717,2.258902,0.325815,4.421832,3.363696,1.058136,4.127713,4.046146,0.081566,11.912881,6.687962,5.224919
23,3.831930,1.808873,2.023056,3.353642,2.588644,0.764997,10.364068,4.544614,5.819453,8.896015,3.592358,5.303656
24,4.510317,3.724469,0.785849,5.968447,6.311737,-0.343291,5.637255,4.089094,1.548161,5.248123,4.205623,1.042499
25,3.503471,3.334427,0.169045,8.941415,5.521664,3.419751,4.675247,3.204435,1.470813,4.770448,3.464807,1.305641
26,3.421887,2.514908,0.906979,4.382591,2.433407,1.949183,11.078523,4.270048,6.808475,8.219650,4.154103,4.065547
27,4.452597,3.210780,1.241817,2.995737,2.050630,0.945107,8.591749,3.016992,5.574756,6.818051,3.358819,3.459231
28,4.778972,1.797593,2.981379,3.024146,1.904898,1.119248,11.505730,4.128769,7.376961,8.129323,3.539261,4.590062
29,4.190904,2.285938,1.904967,3.508466,2.515558,0.992908,5.408590,2.877508,2.531082,3.902777,3.503582,0.399195
30,3.249066,2.035668,1.213397,3.317105,2.601002,0.716104,4.877396,2.449374,2.428022,4.634391,3.479991,1.154400
31,3.319235,2.240466,1.078769,6.988012,3.496486,3.491525,6.043719,3.021570,3.022149,5.819042,4.650670,1.168372
32,3.653418,3.512938,0.140480,6.797015,4.291151,2.505864,4.388626,2.791731,1.596895,3.925820,2.992051,0.933769
33,3.285372,2.302672,0.982700,6.738336,3.702210,3.036126,4.103671,2.966088,1.137584,7.961043,3.332387,4.628656
34,4.763125,3.221158,1.541967,7.851732,3.740914,4.110817,4.182405,3.777140,0.405266,5.013551,4.678688,0.334864
35,5.140315,3.327680,1.812635,6.762807,7.293664,-0.530857,5.246669,5.418026,-0.171357,7.582774,8.765618,-1.182845
36,3.833012,2.785342,1.047670,5.928855,4.559068,1.369788,4.730675,4.166331,0.564344,7.726080,5.964477,1.761603
37,3.593559,2.777031,0.816528,5.585832,3.716586,1.869246,4.187558,2.973109,1.214449,4.383922,4.169638,0.214284
38,4.829580,2.999740,1.829840,4.657944,2.920745,1.737199,4.258496,2.482423,1.776074,4.409035,4.586924,-0.177888
39,3.360910,2.616432,0.744478,4.397421,4.358452,0.038968,5.506171,5.345928,0.160243,9.498542,5.141434,4.357108
40,5.949412,3.865684,2.083729,4.298225,3.499292,0.798933,6.320919,3.691693,2.629226,5.012180,3.756009,1.256171
41,3.652675,3.322555,0.330120,4.268536,5.385950,-1.117415,7.530078,5.273351,2.256727,8.029658,5.715251,2.314407
42,4.161938,4.157667,0.004271,5.092203,4.325401,0.766801,5.050753,3.526682,1.524071,6.374393,4.622701,1.751693
43,4.063103,3.347219,0.715884,7.769385,7.337168,0.432217,11.209848,10.340107,0.869742,12.436279,9.650833,2.785446
44,8.714968,4.985599,3.729369,9.470700,5.144727,4.325972,7.073607,5.828910,1.244697,4.230125,4.396510,-0.166385
45,5.254932,2.553517,2.701415,10.275675,5.636292,4.639383,4.095891,4.371448,-0.275557,8.426635,5.045209,3.381426
46,6.773924,3.864367,2.909557,11.990685,7.075325,4.915360,9.924435,8.109124,1.815311,48.333503,23.770476,24.563027
47,8.592496,4.033631,4.558866,7.224080,6.798276,0.425804,8.940293,6.314690,2.625603,3.051470,3.494069,-0.442600
