layer,short_range_mean,long_range_mean
0,290.473846,278.626190
1,294.728180,283.285858
2,286.906311,275.298981
3,280.042206,269.676270
4,279.281738,268.893066
5,279.136932,268.343842
6,279.894135,268.256195
7,283.392365,271.013428
8,282.620331,269.897583
9,283.619263,270.610596
10,286.331543,270.991547
11,289.750244,271.937073
12,290.797821,272.683868
13,289.518677,272.550842
14,289.902832,276.911194
15,282.961761,277.995789
16,271.607971,271.562653
17,262.196655,269.780731
18,250.361526,265.900604
19,246.420670,266.288177
20,247.531891,267.964844
21,253.461090,273.268097
22,256.760010,279.255096
23,261.481812,280.924988
24,270.812622,290.184326
25,276.735687,298.210754
26,279.740631,297.756012
27,283.101685,297.116943
28,286.339600,295.783417
29,287.803894,290.274689
30,285.459259,283.984558
31,285.656586,279.289307
32,286.485840,275.312531
33,280.329102,267.353485
34,281.788574,265.262482
35,281.481781,271.024872
36,282.860718,273.683746
37,282.970490,274.594818
38,279.150177,268.270630
39,276.188416,265.215546
40,273.077209,254.236679
41,275.927032,257.242615
42,273.678314,250.411423
43,270.755707,253.644302
44,260.158295,247.840820
45,247.427673,233.965836
46,225.821365,214.357346
47,207.447754,198.269547
