layer_index,near_count,far_count,raw_mean_cosine_change_near,raw_mean_cosine_change_far,raw_difference_near_minus_far,mean_z_cosine_change_near,mean_z_cosine_change_far,layer_mean_cosine_change,layer_std_cosine_change
1,1325,36625,0.005655,0.005725,-0.000070,-0.042624,0.001542,0.005722,0.001590
2,1325,36625,0.005504,0.007121,-0.001617,-0.824916,0.029843,0.007064,0.001891
3,1325,36625,0.004351,0.004421,-0.000070,-0.043018,0.001556,0.004419,0.001576
4,1325,36625,0.005543,0.002805,0.002738,1.330284,-0.048126,0.002900,0.001986
5,1325,36625,0.004791,0.001398,0.003392,2.837668,-0.102660,0.001517,0.001154
6,1325,36625,0.004215,0.001603,0.002612,2.439554,-0.088257,0.001694,0.001033
7,1325,36625,0.004130,0.002082,0.002048,2.112416,-0.076422,0.002153,0.000936
8,1325,36625,0.004184,0.003337,0.000846,0.699816,-0.025318,0.003367,0.001167
9,1325,36625,0.006820,0.004814,0.002007,1.126711,-0.040762,0.004884,0.001719
10,1325,36625,0.006791,0.002921,0.003870,2.069497,-0.074869,0.003056,0.001805
11,1325,36625,0.007280,0.004892,0.002388,1.056463,-0.038220,0.004975,0.002181
12,1325,36625,0.006600,0.006733,-0.000133,-0.067487,0.002442,0.006729,0.001906
13,1325,36625,0.007405,0.009158,-0.001754,-0.571188,0.020664,0.009097,0.002963
14,1325,36625,0.012633,0.010069,0.002564,0.680327,-0.024613,0.010159,0.003637
15,1325,36625,0.012664,0.014508,-0.001845,-0.357704,0.012941,0.014444,0.004977
16,1325,36625,0.012550,0.011910,0.000640,0.127886,-0.004627,0.011932,0.004832
17,1325,36625,0.018873,0.015263,0.003610,0.540320,-0.019547,0.015389,0.006447
18,1325,36625,0.026260,0.021426,0.004834,0.539049,-0.019501,0.021595,0.008655
19,1325,36625,0.032660,0.026062,0.006598,0.608002,-0.021996,0.026292,0.010474
20,1325,36625,0.035391,0.020265,0.015126,1.610608,-0.058268,0.020793,0.009064
21,1325,36625,0.025995,0.012231,0.013764,2.303746,-0.083344,0.012711,0.005766
22,1325,36625,0.017962,0.010064,0.007898,1.781508,-0.064450,0.010339,0.004279
23,1325,36625,0.016966,0.006504,0.010462,2.668725,-0.096548,0.006870,0.003783
24,1325,36625,0.016536,0.009544,0.006992,1.476839,-0.053428,0.009789,0.004569
25,1325,36625,0.016597,0.008229,0.008368,1.975165,-0.071456,0.008521,0.004089
26,1325,36625,0.022942,0.005693,0.017249,2.991804,-0.108236,0.006296,0.005564
27,1325,36625,0.020967,0.006156,0.014812,2.891691,-0.104614,0.006673,0.004943
28,1325,36625,0.021827,0.005039,0.016789,3.020856,-0.109287,0.005625,0.005364
29,1325,36625,0.018720,0.006323,0.012397,2.573181,-0.093091,0.006756,0.004650
30,1325,36625,0.022471,0.008251,0.014220,2.651353,-0.095919,0.008747,0.005176
31,1325,36625,0.022435,0.010822,0.011614,2.181730,-0.078929,0.011227,0.005137
32,1325,36625,0.019790,0.011568,0.008222,1.479683,-0.053531,0.011855,0.005363
33,1325,36625,0.022516,0.013989,0.008527,1.523688,-0.055123,0.014287,0.005401
34,1325,36625,0.022069,0.011054,0.011015,1.915590,-0.069301,0.011438,0.005549
35,1325,36625,0.020392,0.013565,0.006828,0.971909,-0.035161,0.013803,0.006780
36,1325,36625,0.019704,0.012473,0.007231,1.508062,-0.054558,0.012726,0.004627
37,1325,36625,0.017430,0.009640,0.007791,1.778316,-0.064335,0.009912,0.004228
38,1325,36625,0.024782,0.011581,0.013201,2.136335,-0.077287,0.012042,0.005963
39,1325,36625,0.016655,0.013508,0.003147,0.648807,-0.023472,0.013618,0.004681
40,1325,36625,0.023324,0.017912,0.005412,0.840913,-0.030422,0.018101,0.006211
41,1325,36625,0.020290,0.014992,0.005298,0.898410,-0.032502,0.015177,0.005691
42,1325,36625,0.026433,0.017562,0.008871,1.308739,-0.047347,0.017872,0.006542
43,1325,36625,0.019453,0.018824,0.000628,0.087261,-0.003157,0.018846,0.006949
44,1325,36625,0.014816,0.012248,0.002568,0.563221,-0.020376,0.012337,0.004400
45,1325,36625,0.012035,0.013124,-0.001089,-0.232379,0.008407,0.013086,0.004522
46,1325,36625,0.019370,0.026044,-0.006675,-0.478547,0.017313,0.025811,0.013461
47,1325,36625,0.013871,0.013394,0.000477,0.039007,-0.001411,0.013410,0.011814
