layer_index,near_count,far_count,raw_mean_cosine_change_near,raw_mean_cosine_change_far,raw_difference_near_minus_far,mean_z_cosine_change_near,mean_z_cosine_change_far,layer_mean_cosine_change,layer_std_cosine_change
1,1325,36625,0.005545,0.005663,-0.000118,-0.070440,0.002548,0.005659,0.001616
2,1325,36625,0.005754,0.007086,-0.001333,-0.678627,0.024551,0.007040,0.001895
3,1325,36625,0.004336,0.004399,-0.000063,-0.038756,0.001402,0.004397,0.001577
4,1325,36625,0.004930,0.002771,0.002159,1.062196,-0.038428,0.002846,0.001962
5,1325,36625,0.004558,0.001400,0.003158,2.646577,-0.095746,0.001510,0.001152
6,1325,36625,0.003709,0.001606,0.002103,1.981886,-0.071700,0.001679,0.001024
7,1325,36625,0.003646,0.002104,0.001543,1.483409,-0.053666,0.002158,0.001004
8,1325,36625,0.003565,0.003362,0.000202,0.166432,-0.006021,0.003369,0.001173
9,1325,36625,0.005645,0.004847,0.000798,0.446518,-0.016154,0.004875,0.001724
10,1325,36625,0.005617,0.002972,0.002645,1.415472,-0.051208,0.003064,0.001804
11,1325,36625,0.006055,0.004918,0.001137,0.510251,-0.018460,0.004958,0.002150
12,1325,36625,0.006134,0.006748,-0.000614,-0.311429,0.011267,0.006726,0.001902
13,1325,36625,0.007512,0.009153,-0.001641,-0.539753,0.019527,0.009096,0.002934
14,1325,36625,0.010647,0.010115,0.000532,0.142339,-0.005149,0.010134,0.003605
15,1325,36625,0.012362,0.014385,-0.002023,-0.398897,0.014431,0.014314,0.004895
16,1325,36625,0.010382,0.012025,-0.001643,-0.330221,0.011947,0.011968,0.004801
17,1325,36625,0.016163,0.015320,0.000844,0.127418,-0.004610,0.015349,0.006389
18,1325,36625,0.023211,0.021328,0.001883,0.212905,-0.007702,0.021394,0.008534
19,1325,36625,0.031958,0.025855,0.006103,0.562716,-0.020358,0.026068,0.010467
20,1325,36625,0.030575,0.020370,0.010205,1.095747,-0.039641,0.020726,0.008988
21,1325,36625,0.021853,0.012370,0.009483,1.591207,-0.057566,0.012701,0.005752
22,1325,36625,0.014694,0.010173,0.004522,1.033007,-0.037372,0.010331,0.004224
23,1325,36625,0.013740,0.006609,0.007131,1.835720,-0.066412,0.006858,0.003749
24,1325,36625,0.013997,0.009581,0.004415,0.940583,-0.034028,0.009736,0.004530
25,1325,36625,0.014165,0.008293,0.005872,1.405721,-0.050855,0.008498,0.004032
26,1325,36625,0.016504,0.005907,0.010597,1.860824,-0.067320,0.006277,0.005496
27,1325,36625,0.014147,0.006396,0.007750,1.531667,-0.055412,0.006667,0.004883
28,1325,36625,0.015312,0.005256,0.010057,1.827457,-0.066113,0.005607,0.005311
29,1325,36625,0.012449,0.006563,0.005886,1.231230,-0.044543,0.006768,0.004614
30,1325,36625,0.015893,0.008465,0.007428,1.400491,-0.050666,0.008725,0.005119
31,1325,36625,0.017434,0.011007,0.006427,1.218184,-0.044071,0.011232,0.005092
32,1325,36625,0.016401,0.011688,0.004713,0.847134,-0.030647,0.011853,0.005369
33,1325,36625,0.018040,0.014251,0.003790,0.676739,-0.024483,0.014383,0.005404
34,1325,36625,0.016709,0.011363,0.005345,0.931645,-0.033705,0.011550,0.005537
35,1325,36625,0.015446,0.013980,0.001466,0.204364,-0.007393,0.014031,0.006925
36,1325,36625,0.015416,0.012861,0.002555,0.509547,-0.018434,0.012950,0.004840
37,1325,36625,0.013725,0.009970,0.003754,0.828457,-0.029971,0.010101,0.004374
38,1325,36625,0.018618,0.011976,0.006642,1.065529,-0.038548,0.012208,0.006016
39,1325,36625,0.014614,0.013821,0.000792,0.154892,-0.005604,0.013849,0.004937
40,1325,36625,0.019503,0.018515,0.000988,0.140135,-0.005070,0.018550,0.006802
41,1325,36625,0.016534,0.015379,0.001156,0.189403,-0.006852,0.015419,0.005888
42,1325,36625,0.022153,0.018198,0.003955,0.538218,-0.019471,0.018336,0.007092
43,1325,36625,0.017348,0.019783,-0.002434,-0.272354,0.009853,0.019698,0.008626
44,1325,36625,0.013152,0.012806,0.000347,0.062360,-0.002256,0.012818,0.005363
45,1325,36625,0.011774,0.013778,-0.002004,-0.325186,0.011764,0.013708,0.005947
46,1325,36625,0.018335,0.027536,-0.009202,-0.555968,0.020114,0.027215,0.015973
47,1325,36625,0.012001,0.016039,-0.004038,-0.192835,0.006976,0.015898,0.020209
