layer_index,near_count,far_count,raw_mean_cosine_change_near,raw_mean_cosine_change_far,raw_difference_near_minus_far,layer_mean_cosine_change,layer_std_cosine_change
1,1365,36585,0.005455,0.005667,-0.000212,0.005659,0.001616
2,1365,36585,0.005290,0.007105,-0.001815,0.007040,0.001895
3,1365,36585,0.004223,0.004403,-0.000181,0.004397,0.001577
4,1365,36585,0.005410,0.002751,0.002659,0.002846,0.001962
5,1365,36585,0.005262,0.001370,0.003892,0.001510,0.001152
6,1365,36585,0.004878,0.001560,0.003318,0.001679,0.001024
7,1365,36585,0.004265,0.002079,0.002186,0.002158,0.001004
8,1365,36585,0.003677,0.003358,0.000319,0.003369,0.001173
9,1365,36585,0.006423,0.004817,0.001606,0.004875,0.001724
10,1365,36585,0.006609,0.002932,0.003677,0.003064,0.001804
11,1365,36585,0.006239,0.004910,0.001330,0.004958,0.002150
12,1365,36585,0.005996,0.006754,-0.000758,0.006726,0.001902
13,1365,36585,0.006453,0.009195,-0.002742,0.009096,0.002934
14,1365,36585,0.010547,0.010118,0.000429,0.010134,0.003605
15,1365,36585,0.010940,0.014440,-0.003500,0.014314,0.004895
16,1365,36585,0.009771,0.012050,-0.002278,0.011968,0.004801
17,1365,36585,0.015245,0.015353,-0.000108,0.015349,0.006389
18,1365,36585,0.022131,0.021367,0.000765,0.021394,0.008534
19,1365,36585,0.032975,0.025810,0.007165,0.026068,0.010467
20,1365,36585,0.034379,0.020217,0.014162,0.020726,0.008988
21,1365,36585,0.024940,0.012245,0.012696,0.012701,0.005752
22,1365,36585,0.016228,0.010111,0.006118,0.010331,0.004224
23,1365,36585,0.016285,0.006506,0.009779,0.006858,0.003749
24,1365,36585,0.015317,0.009527,0.005789,0.009736,0.004530
25,1365,36585,0.015797,0.008226,0.007571,0.008498,0.004032
26,1365,36585,0.019574,0.005781,0.013793,0.006277,0.005496
27,1365,36585,0.017140,0.006276,0.010864,0.006667,0.004883
28,1365,36585,0.018053,0.005142,0.012910,0.005607,0.005311
29,1365,36585,0.014413,0.006483,0.007929,0.006768,0.004614
30,1365,36585,0.018026,0.008377,0.009649,0.008725,0.005119
31,1365,36585,0.020029,0.010903,0.009125,0.011232,0.005092
32,1365,36585,0.017437,0.011644,0.005793,0.011853,0.005369
33,1365,36585,0.019152,0.014205,0.004947,0.014383,0.005404
34,1365,36585,0.017809,0.011316,0.006493,0.011550,0.005537
35,1365,36585,0.015961,0.013959,0.002002,0.014031,0.006925
36,1365,36585,0.015267,0.012863,0.002404,0.012950,0.004840
37,1365,36585,0.014051,0.009954,0.004097,0.010101,0.004374
38,1365,36585,0.020247,0.011908,0.008339,0.012208,0.006016
39,1365,36585,0.014249,0.013834,0.000415,0.013849,0.004937
40,1365,36585,0.018785,0.018541,0.000244,0.018550,0.006802
41,1365,36585,0.016219,0.015389,0.000830,0.015419,0.005888
42,1365,36585,0.022006,0.018199,0.003808,0.018336,0.007092
43,1365,36585,0.016045,0.019834,-0.003789,0.019698,0.008626
44,1365,36585,0.012304,0.012837,-0.000533,0.012818,0.005363
45,1365,36585,0.010758,0.013818,-0.003060,0.013708,0.005947
46,1365,36585,0.016343,0.027621,-0.011278,0.027215,0.015973
47,1365,36585,0.010924,0.016084,-0.005160,0.015898,0.020209
