layer_index,pc1_near_mean,pc1_far_mean,pc1_diff,pc2_near_mean,pc2_far_mean,pc2_diff,pc3_near_mean,pc3_far_mean,pc3_diff,pc4_near_mean,pc4_far_mean,pc4_diff
1,3.963320,3.025460,0.937861,3.564305,2.266140,1.298166,4.054225,3.604796,0.449429,25.564998,21.238401,4.326597
2,2.814378,1.757336,1.057042,125.179125,32.000936,93.178188,17.100001,15.597479,1.502522,22.076353,15.304354,6.771998
3,1.466832,1.199672,0.267160,128.745477,33.596788,95.148689,26.005824,19.846391,6.159433,19.929592,15.373343,4.556249
4,2.699901,1.261160,1.438741,2.633622,1.428893,1.204728,3.014831,1.845758,1.169073,2.775091,2.108117,0.666975
5,2.055873,1.073048,0.982825,2.215302,1.024696,1.190607,3.078569,2.280384,0.798185,3.166272,2.288780,0.877492
6,2.174010,1.062806,1.111204,137.459084,35.183987,102.275097,36.427209,27.940502,8.486707,27.937233,24.960302,2.976931
7,4.021013,1.694299,2.326714,5.224660,1.895576,3.329084,3.584074,2.286308,1.297766,3.915853,2.906682,1.009171
8,2.988653,1.745819,1.242834,5.915636,3.525096,2.390541,4.185977,2.647432,1.538544,4.506555,2.544205,1.962350
9,3.758989,1.772359,1.986629,163.788863,43.875708,119.913155,4.230138,2.502110,1.728027,32.016079,25.532061,6.484019
10,2.421653,1.590163,0.831490,172.755037,47.484339,125.270698,51.301817,33.043541,18.258276,37.327975,25.411756,11.916219
11,3.330067,2.282450,1.047618,183.575018,51.944429,131.630589,5.388459,3.130033,2.258425,19.730761,8.236878,11.493882
12,5.717400,2.279132,3.438268,8.531073,4.613791,3.917282,68.425292,36.389094,32.036198,87.936081,24.636602,63.299479
13,4.631905,3.760203,0.871702,9.317158,5.522563,3.794595,78.215467,41.313724,36.901743,6.623567,4.192743,2.430824
14,3.191554,3.562376,-0.370822,10.372385,5.568796,4.803590,4.768557,4.044917,0.723640,5.163118,5.317625,-0.154507
