sequential_distance,count,percentage,cumulative_percentage
1,275,20.7547,20.7547
2,274,20.6792,41.4340
3,143,10.7925,52.2264
4,110,8.3019,60.5283
5,38,2.8679,63.3962
6,21,1.5849,64.9811
7,15,1.1321,66.1132
8,14,1.0566,67.1698
9,9,0.6792,67.8491
10,10,0.7547,68.6038
11,10,0.7547,69.3585
12,9,0.6792,70.0377
13,9,0.6792,70.7170
14,6,0.4528,71.1698
15,8,0.6038,71.7736
16,8,0.6038,72.3774
17,6,0.4528,72.8302
18,7,0.5283,73.3585
19,8,0.6038,73.9623
20,4,0.3019,74.2642
21,6,0.4528,74.7170
22,4,0.3019,75.0189
23,2,0.1509,75.1698
24,4,0.3019,75.4717
25,3,0.2264,75.6981
26,1,0.0755,75.7736
27,5,0.3774,76.1509
28,6,0.4528,76.6038
29,3,0.2264,76.8302
30,3,0.2264,77.0566
31,5,0.3774,77.4340
32,6,0.4528,77.8868
33,9,0.6792,78.5660
34,14,1.0566,79.6226
35,15,1.1321,80.7547
36,22,1.6604,82.4151
37,13,0.9811,83.3962
38,11,0.8302,84.2264
39,7,0.5283,84.7547
40,6,0.4528,85.2075
41,6,0.4528,85.6604
42,7,0.5283,86.1887
43,2,0.1509,86.3396
44,1,0.0755,86.4151
45,2,0.1509,86.5660
46,2,0.1509,86.7170
47,3,0.2264,86.9434
48,2,0.1509,87.0943
49,0,0.0000,87.0943
50,0,0.0000,87.0943
51,0,0.0000,87.0943
52,0,0.0000,87.0943
53,0,0.0000,87.0943
54,0,0.0000,87.0943
55,0,0.0000,87.0943
56,0,0.0000,87.0943
57,0,0.0000,87.0943
58,0,0.0000,87.0943
59,0,0.0000,87.0943
60,0,0.0000,87.0943
61,0,0.0000,87.0943
62,0,0.0000,87.0943
63,0,0.0000,87.0943
64,0,0.0000,87.0943
65,0,0.0000,87.0943
66,0,0.0000,87.0943
67,0,0.0000,87.0943
68,1,0.0755,87.1698
69,2,0.1509,87.3208
70,1,0.0755,87.3962
71,0,0.0000,87.3962
72,1,0.0755,87.4717
73,2,0.1509,87.6226
74,1,0.0755,87.6981
75,0,0.0000,87.6981
76,2,0.1509,87.8491
77,1,0.0755,87.9245
78,1,0.0755,88.0000
79,2,0.1509,88.1509
80,1,0.0755,88.2264
81,2,0.1509,88.3774
82,1,0.0755,88.4528
83,1,0.0755,88.5283
84,1,0.0755,88.6038
85,1,0.0755,88.6792
86,1,0.0755,88.7547
87,1,0.0755,88.8302
88,0,0.0000,88.8302
89,0,0.0000,88.8302
90,0,0.0000,88.8302
91,0,0.0000,88.8302
92,0,0.0000,88.8302
93,1,0.0755,88.9057
94,0,0.0000,88.9057
95,0,0.0000,88.9057
96,0,0.0000,88.9057
97,0,0.0000,88.9057
98,0,0.0000,88.9057
99,0,0.0000,88.9057
100,0,0.0000,88.9057
101,0,0.0000,88.9057
102,0,0.0000,88.9057
103,0,0.0000,88.9057
104,0,0.0000,88.9057
105,0,0.0000,88.9057
106,0,0.0000,88.9057
107,1,0.0755,88.9811
108,0,0.0000,88.9811
109,0,0.0000,88.9811
110,0,0.0000,88.9811
111,0,0.0000,88.9811
112,0,0.0000,88.9811
113,1,0.0755,89.0566
114,3,0.2264,89.2830
115,2,0.1509,89.4340
116,2,0.1509,89.5849
117,1,0.0755,89.6604
118,2,0.1509,89.8113
119,1,0.0755,89.8868
120,2,0.1509,90.0377
121,1,0.0755,90.1132
122,2,0.1509,90.2642
123,2,0.1509,90.4151
124,4,0.3019,90.7170
125,3,0.2264,90.9434
126,3,0.2264,91.1698
127,2,0.1509,91.3208
128,3,0.2264,91.5472
129,2,0.1509,91.6981
130,1,0.0755,91.7736
131,1,0.0755,91.8491
132,1,0.0755,91.9245
133,3,0.2264,92.1509
134,3,0.2264,92.3774
135,4,0.3019,92.6792
136,4,0.3019,92.9811
137,4,0.3019,93.2830
138,2,0.1509,93.4340
139,2,0.1509,93.5849
140,2,0.1509,93.7358
141,3,0.2264,93.9623
142,2,0.1509,94.1132
143,2,0.1509,94.2642
144,2,0.1509,94.4151
145,2,0.1509,94.5660
146,2,0.1509,94.7170
147,2,0.1509,94.8679
148,2,0.1509,95.0189
149,2,0.1509,95.1698
150,2,0.1509,95.3208
151,2,0.1509,95.4717
152,1,0.0755,95.5472
153,2,0.1509,95.6981
154,2,0.1509,95.8491
155,2,0.1509,96.0000
156,1,0.0755,96.0755
157,2,0.1509,96.2264
158,1,0.0755,96.3019
159,0,0.0000,96.3019
160,0,0.0000,96.3019
161,0,0.0000,96.3019
162,0,0.0000,96.3019
163,0,0.0000,96.3019
164,1,0.0755,96.3774
165,1,0.0755,96.4528
166,2,0.1509,96.6038
167,1,0.0755,96.6792
168,2,0.1509,96.8302
169,2,0.1509,96.9811
170,3,0.2264,97.2075
171,3,0.2264,97.4340
172,2,0.1509,97.5849
173,3,0.2264,97.8113
174,4,0.3019,98.1132
175,4,0.3019,98.4151
176,3,0.2264,98.6415
177,3,0.2264,98.8679
178,2,0.1509,99.0189
179,2,0.1509,99.1698
180,3,0.2264,99.3962
181,4,0.3019,99.6981
182,2,0.1509,99.8491
183,0,0.0000,99.8491
184,0,0.0000,99.8491
185,0,0.0000,99.8491
186,0,0.0000,99.8491
187,0,0.0000,99.8491
188,0,0.0000,99.8491
189,0,0.0000,99.8491
190,0,0.0000,99.8491
191,1,0.0755,99.9245
192,0,0.0000,99.9245
193,0,0.0000,99.9245
194,0,0.0000,99.9245
195,0,0.0000,99.9245
196,0,0.0000,99.9245
197,0,0.0000,99.9245
198,0,0.0000,99.9245
199,0,0.0000,99.9245
200,0,0.0000,99.9245
201,0,0.0000,99.9245
202,0,0.0000,99.9245
203,0,0.0000,99.9245
204,0,0.0000,99.9245
205,0,0.0000,99.9245
206,0,0.0000,99.9245
207,0,0.0000,99.9245
208,0,0.0000,99.9245
209,0,0.0000,99.9245
210,0,0.0000,99.9245
211,0,0.0000,99.9245
212,0,0.0000,99.9245
213,0,0.0000,99.9245
214,0,0.0000,99.9245
215,0,0.0000,99.9245
216,0,0.0000,99.9245
217,1,0.0755,100.0000
218,0,0.0000,100.0000
219,0,0.0000,100.0000
220,0,0.0000,100.0000
221,0,0.0000,100.0000
222,0,0.0000,100.0000
223,0,0.0000,100.0000
224,0,0.0000,100.0000
225,0,0.0000,100.0000
