layer,short_range_mean,long_range_mean
0,300.887421,279.755646
1,304.984711,284.369446
2,297.738953,276.382660
3,289.782410,270.641693
4,289.757263,269.834747
5,291.776947,269.258636
6,293.941193,269.227509
7,297.876831,272.063110
8,296.774384,271.002960
9,296.964417,271.781555
10,300.645905,272.423798
11,303.538879,273.702759
12,303.382446,274.531372
13,301.273254,274.282654
14,299.010132,278.233276
15,288.470612,278.427795
16,275.017395,271.445068
17,261.834473,268.829681
18,247.310333,264.035583
19,240.535370,263.975433
20,241.156845,265.597931
21,247.629288,270.961090
22,252.113724,276.563446
23,259.844635,278.512482
24,267.590912,287.838257
25,272.027344,295.651062
26,276.512360,295.582581
27,283.787628,295.310425
28,291.277985,294.404205
29,294.751648,289.709229
30,294.929565,283.829437
31,299.218628,279.608124
32,300.786957,276.215546
33,295.531097,268.453064
34,297.716248,266.787140
35,296.743500,271.802094
36,300.741882,274.203491
37,302.262543,274.961639
38,300.568634,268.878845
39,300.766327,265.721344
40,297.560608,255.746078
41,295.580627,258.906860
42,296.736877,252.535065
43,292.229523,255.042725
44,282.411743,248.601578
45,274.655457,234.692154
46,260.254852,214.569016
47,250.197220,197.889740
