layer,r2,overlap_with_final_top50,jaccard_with_prev
0,0.623550,0.3000,nan
1,0.639416,0.2600,0.3158
2,0.636403,0.2600,0.5152
3,0.648949,0.2200,0.4706
4,0.663185,0.2200,0.5385
5,0.669890,0.2200,0.6129
6,0.672907,0.2400,0.6129
7,0.677962,0.2400,0.6949
8,0.708127,0.1600,0.6129
9,0.732531,0.2400,0.6129
10,0.749834,0.2400,0.4925
11,0.774791,0.1600,0.5385
12,0.793649,0.1800,0.4286
13,0.867829,0.2200,0.3699
14,0.869852,0.3200,0.3889
15,0.895294,0.2400,0.3158
16,0.930266,0.3000,0.4085
17,0.944382,0.2400,0.4925
18,0.955750,0.2400,0.4493
19,0.956601,0.2200,0.4286
20,0.962927,0.2400,0.6129
21,0.962834,0.2400,0.6393
22,0.965967,0.2200,0.5152
23,0.966443,0.2400,0.6393
24,0.968453,0.2000,0.6393
25,0.968220,0.2000,0.6393
26,0.967834,0.2000,0.6949
27,0.968150,0.2000,0.6667
28,0.968472,0.2600,0.5625
29,0.966826,0.2200,0.4925
30,0.965251,0.2600,0.4706
31,0.966415,0.2200,0.5625
32,0.967952,0.1600,0.5385
33,0.968797,0.2200,0.5152
34,0.969621,0.1600,0.5152
35,0.974587,0.2400,0.4286
36,0.974764,0.2200,0.4085
37,0.976147,0.3200,0.4493
38,0.976607,0.2800,0.4706
39,0.977943,0.2400,0.4706
40,0.978074,0.3000,0.3889
41,0.979687,0.3400,0.4286
42,0.982153,0.3400,0.4925
43,0.985426,0.3200,0.4286
44,0.988163,0.2800,0.5152
45,0.989304,0.3800,0.5385
46,0.989670,0.7600,0.3333
47,0.988109,1.0000,0.6129
