layer,short_range_mean,long_range_mean
0,289.685394,279.377197
1,293.590607,284.107605
2,285.958954,276.041443
3,278.459503,270.445129
4,277.380951,269.675171
5,276.785248,269.209717
6,277.305145,269.158173
7,279.391815,272.194458
8,278.138672,271.164185
9,278.194916,272.014587
10,280.946625,272.369659
11,284.886932,273.243073
12,284.808228,274.143250
13,280.351105,274.685486
14,277.431549,279.763184
15,265.688965,281.660614
16,252.922501,275.440521
17,239.715347,274.323242
18,226.591980,270.611084
19,222.956512,271.025238
20,227.362061,272.153076
21,236.088440,276.980652
22,239.699402,282.884064
23,245.910782,284.204376
24,255.452866,293.568756
25,259.471466,302.074249
26,265.715881,300.994263
27,270.759521,299.936096
28,276.397797,298.131317
29,283.348297,291.543121
30,284.475891,284.524231
31,286.423706,279.592163
32,289.805634,275.152191
33,284.526794,267.057220
34,286.331543,265.089447
35,284.818054,271.035156
36,286.082275,273.773865
37,286.512604,274.671417
38,284.209595,268.195190
39,282.291687,264.971802
40,284.209595,253.251633
41,286.474701,256.709229
42,287.748779,249.528061
43,282.660980,253.439301
44,268.457520,248.352554
45,257.921234,234.169388
46,238.058685,214.426727
47,219.582199,198.600464
